# classification: /scratch/maposto/output.sample1.July-1-2021.LR_isoseq/sqanti3/sample1/duplicate_1/sample1.transcriptome.sqanti3_classification.txt
# isoform: sqanti3/sample1/duplicate_1/sample1.transcriptome.sqanti3_corrected.fasta
# intrapriming cutoff: 0.6
# min_cov cutoff: 3
filtered_isoform,reason
PB.6084.1,LowCoverage/Non-Canonical
PB.6086.1,LowCoverage/Non-Canonical
PB.6085.1,LowCoverage/Non-Canonical
PB.6087.1,LowCoverage/Non-Canonical
PB.6088.1,LowCoverage/Non-Canonical
PB.6089.1,LowCoverage/Non-Canonical
PB.6090.1,LowCoverage/Non-Canonical
PB.6091.1,IntraPriming
PB.6092.1,LowCoverage/Non-Canonical
PB.6093.1,LowCoverage/Non-Canonical
PB.6094.1,LowCoverage/Non-Canonical
PB.6094.2,LowCoverage/Non-Canonical
PB.6095.1,LowCoverage/Non-Canonical
PB.6096.1,LowCoverage/Non-Canonical
PB.6097.1,LowCoverage/Non-Canonical
PB.6100.1,IntraPriming
PB.6098.1,LowCoverage/Non-Canonical
PB.6098.2,LowCoverage/Non-Canonical
PB.6098.3,LowCoverage/Non-Canonical
PB.6098.4,LowCoverage/Non-Canonical
PB.6099.1,LowCoverage/Non-Canonical
PB.6099.2,LowCoverage/Non-Canonical
PB.6099.3,IntraPriming
PB.6101.1,LowCoverage/Non-Canonical
PB.6101.2,LowCoverage/Non-Canonical
PB.6102.1,LowCoverage/Non-Canonical
PB.6102.2,LowCoverage/Non-Canonical
PB.6103.1,IntraPriming
PB.6103.2,IntraPriming
PB.6104.1,LowCoverage/Non-Canonical
PB.6105.1,LowCoverage/Non-Canonical
PB.6106.1,LowCoverage/Non-Canonical
PB.6106.2,IntraPriming
PB.6107.1,LowCoverage/Non-Canonical
PB.6108.1,LowCoverage/Non-Canonical
PB.6108.2,LowCoverage/Non-Canonical
PB.6109.1,LowCoverage/Non-Canonical
PB.6110.1,LowCoverage/Non-Canonical
PB.6111.1,LowCoverage/Non-Canonical
PB.6112.1,LowCoverage/Non-Canonical
PB.6113.1,LowCoverage/Non-Canonical
PB.6114.1,LowCoverage/Non-Canonical
PB.6117.1,LowCoverage/Non-Canonical
PB.6115.1,IntraPriming
PB.6116.1,IntraPriming
PB.6118.1,LowCoverage/Non-Canonical
PB.6119.1,LowCoverage/Non-Canonical
PB.6119.2,LowCoverage/Non-Canonical
PB.6120.1,LowCoverage/Non-Canonical
PB.6120.2,LowCoverage/Non-Canonical
PB.6120.3,LowCoverage/Non-Canonical
PB.6120.4,IntraPriming
PB.6120.5,LowCoverage/Non-Canonical
PB.6120.6,LowCoverage/Non-Canonical
PB.6120.7,LowCoverage/Non-Canonical
PB.6120.8,LowCoverage/Non-Canonical
PB.6120.9,LowCoverage/Non-Canonical
PB.6121.1,LowCoverage/Non-Canonical
PB.6122.1,LowCoverage/Non-Canonical
PB.6123.1,LowCoverage/Non-Canonical
PB.6124.1,LowCoverage/Non-Canonical
PB.6125.1,LowCoverage/Non-Canonical
PB.6126.1,LowCoverage/Non-Canonical
PB.6127.1,IntraPriming
PB.6127.2,IntraPriming
PB.6127.3,IntraPriming
PB.6128.1,LowCoverage/Non-Canonical
PB.6129.1,LowCoverage/Non-Canonical
PB.6130.1,LowCoverage/Non-Canonical
PB.6130.2,LowCoverage/Non-Canonical
PB.6130.3,LowCoverage/Non-Canonical
PB.6130.4,LowCoverage/Non-Canonical
PB.6130.5,LowCoverage/Non-Canonical
PB.6131.1,LowCoverage/Non-Canonical
PB.6131.2,LowCoverage/Non-Canonical
PB.6131.3,LowCoverage/Non-Canonical
PB.6131.4,LowCoverage/Non-Canonical
PB.6131.5,LowCoverage/Non-Canonical
PB.6132.1,LowCoverage/Non-Canonical
PB.6133.1,LowCoverage/Non-Canonical
PB.6134.1,LowCoverage/Non-Canonical
PB.6134.2,LowCoverage/Non-Canonical
PB.6134.3,LowCoverage/Non-Canonical
PB.6134.4,LowCoverage/Non-Canonical
PB.6135.1,LowCoverage/Non-Canonical
PB.6135.2,LowCoverage/Non-Canonical
PB.6135.3,LowCoverage/Non-Canonical
PB.6135.4,LowCoverage/Non-Canonical
PB.6135.5,LowCoverage/Non-Canonical
PB.6135.6,LowCoverage/Non-Canonical
PB.6136.1,LowCoverage/Non-Canonical
PB.6137.1,LowCoverage/Non-Canonical
PB.6138.1,LowCoverage/Non-Canonical
PB.6138.2,LowCoverage/Non-Canonical
PB.6138.3,LowCoverage/Non-Canonical
PB.6139.1,LowCoverage/Non-Canonical
PB.6140.1,LowCoverage/Non-Canonical
PB.6141.1,LowCoverage/Non-Canonical
PB.6142.1,LowCoverage/Non-Canonical
PB.6143.1,LowCoverage/Non-Canonical
PB.6144.1,LowCoverage/Non-Canonical
PB.6145.1,LowCoverage/Non-Canonical
PB.6146.1,LowCoverage/Non-Canonical
PB.6147.1,LowCoverage/Non-Canonical
PB.6147.2,LowCoverage/Non-Canonical
PB.6147.3,LowCoverage/Non-Canonical
PB.6147.4,LowCoverage/Non-Canonical
PB.6147.5,LowCoverage/Non-Canonical
PB.6040.1,LowCoverage/Non-Canonical
PB.6041.1,IntraPriming
PB.6041.2,LowCoverage/Non-Canonical
PB.6041.3,LowCoverage/Non-Canonical
PB.6042.1,LowCoverage/Non-Canonical
PB.6043.1,LowCoverage/Non-Canonical
PB.6044.1,IntraPriming
PB.6017.1,LowCoverage/Non-Canonical
PB.6031.1,LowCoverage/Non-Canonical
PB.6016.1,LowCoverage/Non-Canonical
PB.6016.2,LowCoverage/Non-Canonical
PB.6023.1,LowCoverage/Non-Canonical
PB.6025.1,LowCoverage/Non-Canonical
PB.5960.1,IntraPriming
PB.6003.1,LowCoverage/Non-Canonical
PB.6005.1,IntraPriming
PB.6006.1,LowCoverage/Non-Canonical
PB.6007.1,LowCoverage/Non-Canonical
PB.6010.1,LowCoverage/Non-Canonical
PB.6008.1,LowCoverage/Non-Canonical
PB.6009.1,LowCoverage/Non-Canonical
PB.6011.1,LowCoverage/Non-Canonical
PB.6012.1,LowCoverage/Non-Canonical
PB.6013.1,LowCoverage/Non-Canonical
PB.6014.1,LowCoverage/Non-Canonical
PB.6020.1,LowCoverage/Non-Canonical
PB.6034.1,LowCoverage/Non-Canonical
PB.6034.2,LowCoverage/Non-Canonical
PB.6047.1,LowCoverage/Non-Canonical
PB.6045.1,LowCoverage/Non-Canonical
PB.6045.2,LowCoverage/Non-Canonical
PB.6046.1,LowCoverage/Non-Canonical
PB.6148.1,LowCoverage/Non-Canonical
PB.6148.2,LowCoverage/Non-Canonical
PB.6149.1,LowCoverage/Non-Canonical
PB.6151.1,LowCoverage/Non-Canonical
PB.5956.1,LowCoverage/Non-Canonical
PB.5956.2,LowCoverage/Non-Canonical
PB.5956.3,LowCoverage/Non-Canonical
PB.5957.1,LowCoverage/Non-Canonical
PB.5961.1,LowCoverage/Non-Canonical
PB.5961.2,LowCoverage/Non-Canonical
PB.5961.3,IntraPriming
PB.5963.1,LowCoverage/Non-Canonical
PB.5964.1,LowCoverage/Non-Canonical
PB.5965.1,IntraPriming
PB.5965.2,IntraPriming
PB.5965.3,IntraPriming
PB.5965.4,LowCoverage/Non-Canonical
PB.5966.1,LowCoverage/Non-Canonical
PB.5967.1,LowCoverage/Non-Canonical
PB.5968.1,LowCoverage/Non-Canonical
PB.5969.1,LowCoverage/Non-Canonical
PB.5969.2,LowCoverage/Non-Canonical
PB.5969.3,LowCoverage/Non-Canonical
PB.5969.4,IntraPriming
PB.5970.1,LowCoverage/Non-Canonical
PB.5971.1,LowCoverage/Non-Canonical
PB.5972.1,LowCoverage/Non-Canonical
PB.5976.1,LowCoverage/Non-Canonical
PB.5980.1,LowCoverage/Non-Canonical
PB.5980.2,LowCoverage/Non-Canonical
PB.5979.1,LowCoverage/Non-Canonical
PB.5979.2,LowCoverage/Non-Canonical
PB.5981.1,LowCoverage/Non-Canonical
PB.5982.1,LowCoverage/Non-Canonical
PB.5982.2,LowCoverage/Non-Canonical
PB.5983.1,LowCoverage/Non-Canonical
PB.5983.2,LowCoverage/Non-Canonical
PB.5983.3,LowCoverage/Non-Canonical
PB.5983.4,LowCoverage/Non-Canonical
PB.5984.1,LowCoverage/Non-Canonical
PB.5984.2,LowCoverage/Non-Canonical
PB.5986.1,LowCoverage/Non-Canonical
PB.5986.2,LowCoverage/Non-Canonical
PB.5995.1,LowCoverage/Non-Canonical
PB.5996.1,LowCoverage/Non-Canonical
PB.5997.1,IntraPriming
PB.5997.2,IntraPriming
PB.5998.1,LowCoverage/Non-Canonical
PB.5999.1,LowCoverage/Non-Canonical
PB.6000.1,LowCoverage/Non-Canonical
PB.6000.2,LowCoverage/Non-Canonical
PB.6001.1,LowCoverage/Non-Canonical
PB.6002.1,LowCoverage/Non-Canonical
PB.6004.1,LowCoverage/Non-Canonical
PB.5987.1,LowCoverage/Non-Canonical
PB.5987.2,LowCoverage/Non-Canonical
PB.5987.3,LowCoverage/Non-Canonical
PB.5987.4,LowCoverage/Non-Canonical
PB.5988.1,LowCoverage/Non-Canonical
PB.5989.1,LowCoverage/Non-Canonical
PB.5989.2,LowCoverage/Non-Canonical
PB.5989.3,LowCoverage/Non-Canonical
PB.5989.4,LowCoverage/Non-Canonical
PB.5990.1,LowCoverage/Non-Canonical
PB.5990.2,IntraPriming
PB.6024.1,LowCoverage/Non-Canonical
PB.6026.1,LowCoverage/Non-Canonical
PB.6029.1,IntraPriming
PB.6028.1,LowCoverage/Non-Canonical
PB.6036.1,LowCoverage/Non-Canonical
PB.6038.1,LowCoverage/Non-Canonical
PB.6039.1,LowCoverage/Non-Canonical
PB.6039.2,LowCoverage/Non-Canonical
PB.5962.1,LowCoverage/Non-Canonical
PB.5973.1,LowCoverage/Non-Canonical
PB.5974.1,IntraPriming
PB.5975.1,LowCoverage/Non-Canonical
PB.5975.2,LowCoverage/Non-Canonical
PB.5977.1,LowCoverage/Non-Canonical
PB.5991.1,IntraPriming
PB.5994.1,LowCoverage/Non-Canonical
PB.6150.1,LowCoverage/Non-Canonical
PB.6150.2,LowCoverage/Non-Canonical
PB.6032.1,LowCoverage/Non-Canonical
PB.6015.1,LowCoverage/Non-Canonical
PB.5909.1,LowCoverage/Non-Canonical
PB.5911.1,LowCoverage/Non-Canonical
PB.5912.1,LowCoverage/Non-Canonical
PB.5912.2,LowCoverage/Non-Canonical
PB.5902.1,LowCoverage/Non-Canonical
PB.5902.2,LowCoverage/Non-Canonical
PB.5902.3,LowCoverage/Non-Canonical
PB.5903.1,LowCoverage/Non-Canonical
PB.5903.2,LowCoverage/Non-Canonical
PB.5925.1,LowCoverage/Non-Canonical
PB.5926.1,LowCoverage/Non-Canonical
PB.5928.1,LowCoverage/Non-Canonical
PB.5928.2,LowCoverage/Non-Canonical
PB.5900.1,LowCoverage/Non-Canonical
PB.5900.2,LowCoverage/Non-Canonical
PB.6030.1,LowCoverage/Non-Canonical
PB.5893.1,LowCoverage/Non-Canonical
PB.5919.1,LowCoverage/Non-Canonical
PB.5927.1,LowCoverage/Non-Canonical
PB.5889.1,LowCoverage/Non-Canonical
PB.5931.1,LowCoverage/Non-Canonical
PB.5978.1,LowCoverage/Non-Canonical
PB.5978.2,LowCoverage/Non-Canonical
PB.5914.1,IntraPriming
PB.5985.1,LowCoverage/Non-Canonical
PB.6018.1,LowCoverage/Non-Canonical
PB.6018.2,LowCoverage/Non-Canonical
PB.6018.3,LowCoverage/Non-Canonical
PB.6018.4,LowCoverage/Non-Canonical
PB.6018.5,LowCoverage/Non-Canonical
PB.6018.6,LowCoverage/Non-Canonical
PB.6018.7,LowCoverage/Non-Canonical
PB.6019.1,LowCoverage/Non-Canonical
PB.6021.1,LowCoverage/Non-Canonical
PB.6021.2,LowCoverage/Non-Canonical
PB.6021.3,LowCoverage/Non-Canonical
PB.6027.1,LowCoverage/Non-Canonical
PB.5938.1,LowCoverage/Non-Canonical
PB.5940.1,LowCoverage/Non-Canonical
PB.5941.1,IntraPriming
PB.5941.2,IntraPriming
PB.5942.1,LowCoverage/Non-Canonical
PB.5942.10,IntraPriming
PB.5942.11,IntraPriming
PB.5942.12,LowCoverage/Non-Canonical
PB.5942.13,IntraPriming
PB.5942.14,IntraPriming
PB.5942.15,IntraPriming
PB.5942.16,IntraPriming
PB.5942.17,IntraPriming
PB.5942.18,IntraPriming
PB.5942.19,IntraPriming
PB.5942.2,IntraPriming
PB.5942.3,LowCoverage/Non-Canonical
PB.5942.4,LowCoverage/Non-Canonical
PB.5942.5,IntraPriming
PB.5942.6,LowCoverage/Non-Canonical
PB.5942.7,IntraPriming
PB.5942.8,IntraPriming
PB.5942.9,IntraPriming
PB.5946.1,LowCoverage/Non-Canonical
PB.6033.1,LowCoverage/Non-Canonical
PB.6037.1,LowCoverage/Non-Canonical
PB.6037.2,IntraPriming
PB.6035.1,LowCoverage/Non-Canonical
PB.5943.1,LowCoverage/Non-Canonical
PB.5943.2,LowCoverage/Non-Canonical
PB.5943.3,LowCoverage/Non-Canonical
PB.5944.1,LowCoverage/Non-Canonical
PB.5944.10,LowCoverage/Non-Canonical
PB.5944.11,LowCoverage/Non-Canonical
PB.5944.12,LowCoverage/Non-Canonical
PB.5944.13,LowCoverage/Non-Canonical
PB.5944.14,LowCoverage/Non-Canonical
PB.5944.15,LowCoverage/Non-Canonical
PB.5944.16,LowCoverage/Non-Canonical
PB.5944.17,LowCoverage/Non-Canonical
PB.5944.18,LowCoverage/Non-Canonical
PB.5944.19,LowCoverage/Non-Canonical
PB.5944.2,LowCoverage/Non-Canonical
PB.5944.20,LowCoverage/Non-Canonical
PB.5944.21,LowCoverage/Non-Canonical
PB.5944.3,LowCoverage/Non-Canonical
PB.5944.4,LowCoverage/Non-Canonical
PB.5944.5,LowCoverage/Non-Canonical
PB.5944.6,LowCoverage/Non-Canonical
PB.5944.7,LowCoverage/Non-Canonical
PB.5944.8,LowCoverage/Non-Canonical
PB.5944.9,LowCoverage/Non-Canonical
PB.5945.1,LowCoverage/Non-Canonical
PB.5904.1,LowCoverage/Non-Canonical
PB.5904.2,LowCoverage/Non-Canonical
PB.5905.1,LowCoverage/Non-Canonical
PB.5905.2,LowCoverage/Non-Canonical
PB.5908.1,LowCoverage/Non-Canonical
PB.5923.1,LowCoverage/Non-Canonical
PB.5992.1,LowCoverage/Non-Canonical
PB.5993.1,LowCoverage/Non-Canonical
PB.6022.1,LowCoverage/Non-Canonical
PB.5929.1,LowCoverage/Non-Canonical
PB.5930.1,LowCoverage/Non-Canonical
PB.5930.2,IntraPriming
PB.5930.3,LowCoverage/Non-Canonical
PB.5932.1,LowCoverage/Non-Canonical
PB.5932.2,IntraPriming
PB.5955.1,LowCoverage/Non-Canonical
PB.5906.1,LowCoverage/Non-Canonical
PB.5907.1,IntraPriming
PB.5910.1,LowCoverage/Non-Canonical
PB.5910.2,LowCoverage/Non-Canonical
PB.5950.1,LowCoverage/Non-Canonical
PB.5950.2,LowCoverage/Non-Canonical
PB.5933.1,LowCoverage/Non-Canonical
PB.5935.1,LowCoverage/Non-Canonical
PB.5939.1,LowCoverage/Non-Canonical
PB.5939.2,LowCoverage/Non-Canonical
PB.5939.3,LowCoverage/Non-Canonical
PB.5949.1,LowCoverage/Non-Canonical
PB.5949.2,LowCoverage/Non-Canonical
PB.5951.1,LowCoverage/Non-Canonical
PB.5951.2,LowCoverage/Non-Canonical
PB.5951.3,LowCoverage/Non-Canonical
PB.5952.1,LowCoverage/Non-Canonical
PB.5952.2,LowCoverage/Non-Canonical
PB.5953.1,LowCoverage/Non-Canonical
PB.5954.1,IntraPriming
PB.5959.1,LowCoverage/Non-Canonical
PB.5959.2,LowCoverage/Non-Canonical
PB.5959.3,LowCoverage/Non-Canonical
PB.5959.4,LowCoverage/Non-Canonical
PB.5959.5,LowCoverage/Non-Canonical
PB.5959.6,LowCoverage/Non-Canonical
PB.5959.7,LowCoverage/Non-Canonical
PB.5959.8,LowCoverage/Non-Canonical
PB.5890.1,LowCoverage/Non-Canonical
PB.5891.1,IntraPriming
PB.5892.1,LowCoverage/Non-Canonical
PB.5894.1,LowCoverage/Non-Canonical
PB.5894.2,LowCoverage/Non-Canonical
PB.5894.3,LowCoverage/Non-Canonical
PB.5895.1,LowCoverage/Non-Canonical
PB.5896.1,LowCoverage/Non-Canonical
PB.5896.2,LowCoverage/Non-Canonical
PB.5896.3,LowCoverage/Non-Canonical
PB.5897.1,LowCoverage/Non-Canonical
PB.5898.1,LowCoverage/Non-Canonical
PB.5899.1,LowCoverage/Non-Canonical
PB.5901.1,LowCoverage/Non-Canonical
PB.5920.1,LowCoverage/Non-Canonical
PB.5922.1,LowCoverage/Non-Canonical
PB.5922.2,LowCoverage/Non-Canonical
PB.5958.1,LowCoverage/Non-Canonical
PB.5958.2,LowCoverage/Non-Canonical
PB.5921.1,LowCoverage/Non-Canonical
PB.5917.1,LowCoverage/Non-Canonical
PB.5917.2,LowCoverage/Non-Canonical
PB.5918.1,LowCoverage/Non-Canonical
PB.5918.2,LowCoverage/Non-Canonical
PB.5918.3,LowCoverage/Non-Canonical
PB.5918.4,LowCoverage/Non-Canonical
PB.5918.5,LowCoverage/Non-Canonical
PB.5924.1,LowCoverage/Non-Canonical
PB.5934.1,LowCoverage/Non-Canonical
PB.5913.1,LowCoverage/Non-Canonical
PB.5915.1,LowCoverage/Non-Canonical
PB.5916.1,LowCoverage/Non-Canonical
PB.5916.2,LowCoverage/Non-Canonical
PB.5886.1,LowCoverage/Non-Canonical
PB.5887.1,LowCoverage/Non-Canonical
PB.5937.1,IntraPriming
PB.5936.1,IntraPriming
PB.5947.1,LowCoverage/Non-Canonical
PB.5948.1,LowCoverage/Non-Canonical
PB.1.1,RTSwitching
PB.10.1,RTSwitching
PB.103.1,IntraPriming
PB.110.1,IntraPriming
PB.118.1,LowCoverage/Non-Canonical
PB.125.1,LowCoverage/Non-Canonical
PB.125.2,LowCoverage/Non-Canonical
PB.128.1,IntraPriming
PB.13.6,IntraPriming
PB.130.9,LowCoverage/Non-Canonical
PB.131.3,LowCoverage/Non-Canonical
PB.137.1,IntraPriming
PB.138.1,RTSwitching
PB.138.2,LowCoverage/Non-Canonical
PB.140.1,IntraPriming
PB.140.2,IntraPriming
PB.140.3,IntraPriming
PB.147.2,IntraPriming
PB.148.1,IntraPriming
PB.148.2,IntraPriming
PB.148.3,IntraPriming
PB.150.1,IntraPriming
PB.152.3,IntraPriming
PB.158.2,RTSwitching
PB.16.1,RTSwitching
PB.160.1,LowCoverage/Non-Canonical
PB.161.1,IntraPriming
PB.161.4,IntraPriming
PB.161.6,IntraPriming
PB.161.8,IntraPriming
PB.161.9,IntraPriming
PB.171.1,LowCoverage/Non-Canonical
PB.173.9,LowCoverage/Non-Canonical
PB.178.3,LowCoverage/Non-Canonical
PB.179.1,IntraPriming
PB.191.4,IntraPriming
PB.196.2,RTSwitching
PB.202.1,LowCoverage/Non-Canonical
PB.208.4,LowCoverage/Non-Canonical
PB.209.1,RTSwitching
PB.214.2,IntraPriming
PB.22.1,RTSwitching
PB.23.1,LowCoverage/Non-Canonical
PB.230.6,LowCoverage/Non-Canonical
PB.231.1,IntraPriming
PB.233.1,IntraPriming
PB.238.1,IntraPriming
PB.239.1,IntraPriming
PB.240.1,LowCoverage/Non-Canonical
PB.241.2,IntraPriming
PB.243.11,IntraPriming
PB.243.12,IntraPriming
PB.243.13,IntraPriming
PB.243.14,LowCoverage/Non-Canonical
PB.244.4,LowCoverage/Non-Canonical
PB.244.6,IntraPriming
PB.248.1,LowCoverage/Non-Canonical
PB.260.1,RTSwitching
PB.260.2,RTSwitching
PB.261.1,LowCoverage/Non-Canonical
PB.262.1,RTSwitching
PB.266.1,RTSwitching
PB.271.3,LowCoverage/Non-Canonical
PB.273.5,LowCoverage/Non-Canonical
PB.282.1,IntraPriming
PB.282.2,LowCoverage/Non-Canonical
PB.285.1,RTSwitching
PB.291.2,LowCoverage/Non-Canonical
PB.292.1,LowCoverage/Non-Canonical
PB.293.4,IntraPriming
PB.296.2,LowCoverage/Non-Canonical
PB.30.4,LowCoverage/Non-Canonical
PB.30.7,LowCoverage/Non-Canonical
PB.300.1,RTSwitching
PB.301.1,IntraPriming
PB.302.1,RTSwitching
PB.303.3,RTSwitching
PB.305.1,LowCoverage/Non-Canonical
PB.31.1,LowCoverage/Non-Canonical
PB.311.2,IntraPriming
PB.315.5,IntraPriming
PB.316.1,IntraPriming
PB.318.1,LowCoverage/Non-Canonical
PB.319.1,LowCoverage/Non-Canonical
PB.326.2,LowCoverage/Non-Canonical
PB.327.1,IntraPriming
PB.330.1,LowCoverage/Non-Canonical
PB.338.1,IntraPriming
PB.34.1,LowCoverage/Non-Canonical
PB.345.1,LowCoverage/Non-Canonical
PB.346.1,LowCoverage/Non-Canonical
PB.347.13,IntraPriming
PB.347.14,IntraPriming
PB.348.1,LowCoverage/Non-Canonical
PB.351.1,LowCoverage/Non-Canonical
PB.351.2,LowCoverage/Non-Canonical
PB.351.3,IntraPriming
PB.356.1,LowCoverage/Non-Canonical
PB.359.1,IntraPriming
PB.362.1,RTSwitching
PB.362.7,LowCoverage/Non-Canonical
PB.37.1,IntraPriming
PB.37.2,IntraPriming
PB.37.3,IntraPriming
PB.371.1,LowCoverage/Non-Canonical
PB.372.1,IntraPriming
PB.375.2,RTSwitching
PB.377.1,LowCoverage/Non-Canonical
PB.382.1,LowCoverage/Non-Canonical
PB.384.3,LowCoverage/Non-Canonical
PB.389.2,LowCoverage/Non-Canonical
PB.390.1,IntraPriming
PB.396.1,RTSwitching
PB.399.1,RTSwitching
PB.4.2,RTSwitching
PB.40.1,IntraPriming
PB.409.2,IntraPriming
PB.411.1,IntraPriming
PB.419.3,LowCoverage/Non-Canonical
PB.420.1,LowCoverage/Non-Canonical
PB.420.2,LowCoverage/Non-Canonical
PB.425.1,RTSwitching
PB.426.6,IntraPriming
PB.427.2,LowCoverage/Non-Canonical
PB.427.3,LowCoverage/Non-Canonical
PB.43.9,LowCoverage/Non-Canonical
PB.431.3,IntraPriming
PB.433.1,RTSwitching
PB.442.1,RTSwitching
PB.442.2,LowCoverage/Non-Canonical
PB.443.1,IntraPriming
PB.444.4,LowCoverage/Non-Canonical
PB.445.1,IntraPriming
PB.465.2,LowCoverage/Non-Canonical
PB.467.1,IntraPriming
PB.468.1,LowCoverage/Non-Canonical
PB.468.7,IntraPriming
PB.473.1,LowCoverage/Non-Canonical
PB.485.1,IntraPriming
PB.486.1,LowCoverage/Non-Canonical
PB.487.3,IntraPriming
PB.49.8,LowCoverage/Non-Canonical
PB.491.2,IntraPriming
PB.493.2,LowCoverage/Non-Canonical
PB.493.3,LowCoverage/Non-Canonical
PB.496.1,LowCoverage/Non-Canonical
PB.500.1,LowCoverage/Non-Canonical
PB.502.4,IntraPriming
PB.504.1,LowCoverage/Non-Canonical
PB.508.1,LowCoverage/Non-Canonical
PB.511.1,LowCoverage/Non-Canonical
PB.514.1,IntraPriming
PB.515.2,LowCoverage/Non-Canonical
PB.515.3,LowCoverage/Non-Canonical
PB.520.1,LowCoverage/Non-Canonical
PB.521.10,LowCoverage/Non-Canonical
PB.521.7,IntraPriming
PB.523.1,IntraPriming
PB.527.2,IntraPriming
PB.528.1,LowCoverage/Non-Canonical
PB.531.1,RTSwitching
PB.533.1,LowCoverage/Non-Canonical
PB.533.2,LowCoverage/Non-Canonical
PB.533.4,LowCoverage/Non-Canonical
PB.533.5,LowCoverage/Non-Canonical
PB.534.1,IntraPriming
PB.537.1,IntraPriming
PB.54.2,LowCoverage/Non-Canonical
PB.543.2,IntraPriming
PB.543.4,IntraPriming
PB.548.1,IntraPriming
PB.553.1,LowCoverage/Non-Canonical
PB.556.2,IntraPriming
PB.556.4,IntraPriming
PB.556.5,IntraPriming
PB.565.1,LowCoverage/Non-Canonical
PB.566.3,IntraPriming
PB.577.5,IntraPriming
PB.578.3,IntraPriming
PB.58.3,LowCoverage/Non-Canonical
PB.580.2,LowCoverage/Non-Canonical
PB.584.1,LowCoverage/Non-Canonical
PB.585.5,LowCoverage/Non-Canonical
PB.586.3,IntraPriming
PB.586.4,IntraPriming
PB.586.5,IntraPriming
PB.586.7,IntraPriming
PB.591.1,IntraPriming
PB.591.2,IntraPriming
PB.591.3,IntraPriming
PB.596.1,IntraPriming
PB.599.1,LowCoverage/Non-Canonical
PB.599.2,LowCoverage/Non-Canonical
PB.599.3,LowCoverage/Non-Canonical
PB.599.4,LowCoverage/Non-Canonical
PB.599.5,LowCoverage/Non-Canonical
PB.599.6,LowCoverage/Non-Canonical
PB.599.7,LowCoverage/Non-Canonical
PB.599.8,LowCoverage/Non-Canonical
PB.599.9,LowCoverage/Non-Canonical
PB.60.1,RTSwitching
PB.602.3,LowCoverage/Non-Canonical
PB.604.1,LowCoverage/Non-Canonical
PB.607.1,IntraPriming
PB.608.1,LowCoverage/Non-Canonical
PB.609.6,IntraPriming
PB.61.1,RTSwitching
PB.613.1,RTSwitching
PB.619.1,RTSwitching
PB.619.2,LowCoverage/Non-Canonical
PB.620.6,LowCoverage/Non-Canonical
PB.625.1,IntraPriming
PB.628.2,LowCoverage/Non-Canonical
PB.629.2,IntraPriming
PB.63.1,RTSwitching
PB.63.2,IntraPriming
PB.633.2,LowCoverage/Non-Canonical
PB.638.1,IntraPriming
PB.639.1,IntraPriming
PB.640.3,IntraPriming
PB.640.5,IntraPriming
PB.643.1,IntraPriming
PB.647.1,IntraPriming
